Vial,Treatment,Rep,AgeBin,CourtshipLatency,CopulationLatency,CopulationDuration,Copulation,Date,Temperature,Humidity,StartTime,Bin2,Bin3,Bin4,FinishSetUp,EndTime
40,LTP,4,4,9:43,9:58,10:19,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
41,LTS,1,4,9:51,9:59,10:23,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
42,LTS,2,4,9:47,9:59,10:22,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
43,LTS,3,4,9:52,10:35,11:01,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
44,LTS,4,4,9:52,9:58,10:22,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
45,LTC,1,4,9:47,9:54,10:19,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
46,LTC,2,4,9:51,9:59,10:26,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
47,LTC,3,4,10:01,10:39,11:05,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
48,LTC,4,4,9:54,9:58,10:27,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
1,LTP,1,1,10:08,,,0,8/20/14,22,72,9:19,9:33,9:44,9:50,9:56,11:36
2,LTP,2,1,9:25,,,0,8/20/14,22,72,9:19,9:33,9:44,9:50,9:56,11:36
3,LTP,3,1,9:28,9:58,10:20,1,8/20/14,22,72,9:19,9:33,9:44,9:50,9:56,11:36
4,LTP,4,1,9:27,,,0,8/20/14,22,72,9:19,9:33,9:44,9:50,9:56,11:36
5,LTS,1,1,9:27,,,0,8/20/14,22,72,9:19,9:33,9:44,9:50,9:56,11:36
